component,lines,child_calls,div_calls,stack_calls,canvas_calls,max_chain,touch_count,score,tier
select.rs,1571,63,32,15,2,6,19,144.1,P0
input.rs,2502,36,18,6,1,6,29,111.1,P0
textarea.rs,2280,30,15,5,3,6,30,105.6,P0
app_shell.rs,1013,29,14,0,0,5,34,103.8,P0
table.rs,1031,41,17,3,2,4,15,98.3,P0
title_bar.rs,690,36,27,0,0,5,14,95.2,P0
layers.rs,655,33,27,1,0,6,14,92.4,P0
range_slider.rs,885,22,14,4,2,5,12,65.6,P0
stepper.rs,488,24,11,8,0,6,12,62.6,P0
slider.rs,560,18,11,5,0,6,12,55.4,P0
button.rs,616,15,7,3,0,6,17,55.3,P0
loader.rs,393,19,15,4,0,6,8,54.6,P0
modal.rs,649,16,11,0,0,4,12,51.4,P0
markdown.rs,493,19,13,4,0,4,7,49.5,P1
timeline.rs,319,16,7,4,0,6,11,48.5,P1
drawer.rs,302,14,14,0,0,5,8,46.8,P1
checkbox.rs,552,12,6,4,0,4,15,46.1,P1
segmented_control.rs,418,6,7,0,0,6,18,46.0,P1
accordion.rs,418,11,4,4,0,6,15,44.5,P1
radio.rs,531,11,6,4,0,4,14,43.4,P1
alert.rs,300,13,9,1,0,5,8,40.6,P1
tree.rs,633,10,5,3,0,5,13,40.5,P1
menu.rs,412,9,4,1,1,5,12,39.4,P1
switch.rs,289,11,5,4,0,4,12,39.4,P1
number_input.rs,736,6,4,1,0,6,15,38.5,P1
progress.rs,423,11,6,4,0,5,10,38.2,P1
chip.rs,634,7,2,4,0,4,15,36.1,P1
hovercard.rs,392,10,4,1,1,5,9,36.1,P1
layout.rs,343,7,9,0,0,6,9,35.7,P2
tabs.rs,362,6,2,2,0,6,12,33.0,P2
indicator.rs,244,4,11,0,0,7,7,31.9,P2
loading_overlay.rs,219,6,4,1,0,6,10,31.0,P2
pagination.rs,387,4,3,1,0,4,13,30.5,P2
popover.rs,255,5,2,1,0,5,10,28.0,P2
rating.rs,325,4,3,1,0,6,10,27.6,P2
tooltip.rs,248,5,3,0,0,5,8,26.0,P2
divider.rs,139,4,8,0,0,5,6,25.8,P3
test_component_smoke.rs,127,6,15,0,0,3,0,24.6,P3
badge.rs,177,3,1,0,0,6,10,24.4,P3
overlay.rs,273,3,4,0,0,6,8,24.4,P3
breadcrumbs.rs,277,4,3,1,0,4,8,23.0,P3
action_icon.rs,244,1,1,0,0,6,10,22.0,P3
mod.rs,128,0,0,0,0,0,13,19.5,P3
icon.rs,134,1,1,0,0,4,7,15.9,P3
paper.rs,126,1,1,0,0,4,7,15.9,P3
scroll_area.rs,165,2,2,0,0,5,5,15.9,P3
title.rs,118,3,2,1,0,3,5,15.5,P3
text.rs,143,1,1,0,0,6,5,14.5,P3
popup.rs,75,3,2,0,0,4,2,11.8,P3
test_layout_depth_budget.rs,592,1,1,0,1,4,1,8.5,P3
control.rs,379,0,0,0,0,4,3,7.7,P3
test_state_logic.rs,478,0,0,0,0,5,1,5.5,P3
test_flattening_invariants.rs,324,5,8,0,0,5,0,2.6,P3
test_theme_api_smoke.rs,77,0,1,0,0,1,0,1.8,P3
test_contract_matrix.rs,386,0,0,0,0,0,1,1.5,P3
utils.rs,149,0,0,0,0,3,8,14.4,ignore
table_state.rs,234,0,0,0,0,4,2,6.2,ignore
text_input_state.rs,191,0,0,0,0,5,1,5.5,ignore
menu_state.rs,64,0,0,0,0,3,2,5.4,ignore
select_state.rs,155,0,0,0,0,3,2,5.4,ignore
interaction_adapter.rs,105,0,0,0,0,4,1,4.7,ignore
slider_axis.rs,93,0,0,0,0,4,1,4.7,ignore
toggle.rs,83,0,0,0,0,2,2,4.6,ignore
transition.rs,176,0,0,0,0,5,0,4.0,ignore
field_variant.rs,28,0,0,0,0,3,1,3.9,ignore
popup_state.rs,46,0,0,0,0,3,1,3.9,ignore
tree_state.rs,186,0,0,0,0,3,1,3.9,ignore
selection_state.rs,88,0,0,0,0,1,1,2.3,ignore
text_input_actions.rs,81,0,0,0,0,1,1,2.3,ignore
